Car Name,Price,Kms Driven,Fuel Type,Transmission,Ownership,Manufacturer,Engine,Seats,
Maruti City,45.94 thousand,90206 km,Electric,Automatic,Third,Maruti,1500cc,7,
Mercedes Figo,23.49 lakh,100771 km,electric,Manual,Second,Mercedes,1200cc,7,
Mercedes Innova,11.41 crore,,Petrol,Manual,Third,Mercedes,2000cc,6,
Hyundai i20,39.23 lakh,112971 km,cng,Manual,First,Hyundai,2000cc,5,
BMW Innova,13.47 lakh,90689 km,Diesel,Automatic,Second,BMW,1500cc,6,
 honda c-class ,41.47 crore,107587 km,diesel,Automatic,Second,Honda,1000cc,6,
Toyota Nexon,27.52 thousand,17592 km,Petrol,Automatic,Third,Toyota,1500cc,7,
BMW Swift,25.48 thousand,83178 km,Electric,Manual,Second,BMW,1000cc,6,
BMW Innova,,90888 km,Electric,Automatic,Second,BMW,800cc,6,
BMW Figo,8.91 thousand,117851 km,petrol,MANUAL,First,BMW,2000cc,7,
Mercedes Figo,42.17 crore,48447 km,Diesel,Automatic,Second,Mercedes,1200cc,7,
Mercedes Nexon,38.23 thousand,85881 km,CNG,Manual,First,Mercedes,1200cc,6,
 hyundai c-class ,15.16 thousand,49147 km,Petrol,Manual,Second,Hyundai,1200cc,4,
Tata Figo,20.72thousand,87881 km,CNG,Automatic,First,Tata,1000cc,4,
 hyundai swift ,29.65 lakh,,petrol,Manual,First,Hyundai,800cc,6,
 hyundai i20 ,40.37 crore,44983 km,cng,Manual,First,Hyundai,1500cc,4,
Ford Nexon,27.84 thousand,39561 km,CNG,Manual,Third,Ford,800cc,6,
 honda city ,17.25 thousand,106640 km,CNG,Automatic,First,Honda,1000cc,7,
 bmw x1 ,13.18 thousand,88679 km,electric,Manual,First,BMW,,6,
 bmw figo ,38.24 crore,68235 km,CNG,AUTOMATIC,Second,BMW,2000cc,7,
Tata Nexon,5.74 crore,16933 km,Electric,Manual,Third,Tata,1500cc,5,
BMW City,26.81 crore,59896 km,CNG,Manual,Third,BMW,1200cc,4,
Honda Swift,33.43 thousand,97472 km,cng,MANUAL,First,Honda,1200cc,6,
Toyota Figo,29.3 crore,21229 km,Diesel,MANUAL,First,Toyota,800cc,6,
 toyota city ,43.57 thousand,43616 km,Diesel,AUTOMATIC,Second,Toyota,1200cc,6,
 bmw nexon ,13.92 thousand,136408 km,Electric,AUTOMATIC,First,BMW,1000cc,4,
BMW i20,18.68 thousand,90148 km,Petrol,Automatic,Second,BMW,1200cc,5,
Mercedes Swift,27.69 thousand,76107 km,CNG,Automatic,Third,Mercedes,1500cc,5,
 maruti c-class ,,132159 km,Electric,Automatic,First,Maruti,800cc,7,
 toyota c-class ,8.88 crore,11269 km,Petrol,Manual,Third,Toyota,2000cc,5,
 maruti c-class ,15.7 lakh,102154 km,Diesel,Manual,First,Maruti,1500cc,4,
BMW Figo,10.85 lakh,22322 km,Electric,Manual,Third,BMW,2000cc,4,
Mercedes Nexon,28.71 lakh,99061 km,CNG,Automatic,Third,Mercedes,1200cc,7,
Tata Nexon,18.0 thousand,49258 km,Petrol,Automatic,First,Tata,1000cc,7,
BMW Figo,38.45crore,52826 km,Electric,Automatic,First,BMW,800cc,5,
 toyota nexon ,31.51 thousand,116153 km,diesel,Automatic,Third,Toyota,2000cc,6,
 hyundai i20 ,36.83 lakh,97672 km,CNG,Automatic,Second,Hyundai,1200cc,4,
Toyota X1,5.21 crore,70039 km,CNG,Manual,Second,Toyota,1000cc,6,
Maruti C-Class,19.15 lakh,103102 km,Petrol,Manual,First,Maruti,1200cc,6,
Tata Swift,22.81 crore,135910 km,Electric,AUTOMATIC,Second,Tata,1200cc,5,
Mercedes C-Class,18.83 lakh,72548 km,CNG,Automatic,First,Mercedes,1200cc,5,
 ford swift ,35.79thousand,143946 km,Electric,Automatic,Second,Ford,2000cc,7,
Mercedes City,35.92 lakh,71687 km,Electric,Manual,Second,Mercedes,800cc,7,
BMW Nexon,20.89crore,53744 km,CNG,Manual,Second,BMW,1500cc,5,
Honda X1,24.48thousand,108312 km,Petrol,AUTOMATIC,First,Honda,1000cc,5,
Honda i20,40.14 lakh,145154 km,diesel,MANUAL,Third,Honda,1500cc,6,
Ford City,30.55 thousand,101392 km,Petrol,Manual,First,Ford,1000cc,5,
Toyota i20,49.57 thousand,81011 km,CNG,Manual,Second,Toyota,800cc,7,
Mercedes C-Class,50.0 thousand,14323 km,Diesel,Manual,First,Mercedes,1200cc,6,
Toyota C-Class,6.34 thousand,64464 km,Petrol,Automatic,First,Toyota,800cc,4,
BMW C-Class,7.74 crore,147584 km,petrol,Automatic,Third,BMW,800cc,7,
Ford Swift,49.85 thousand,127961 km,cng,Automatic,Second,Ford,1200cc,6,
,26.68 lakh,51044 km,electric,Manual,Third,Tata,1500cc,7,
BMW Figo,19.25 lakh,115832 km,cng,Automatic,First,BMW,1000cc,5,
BMW i20,47.74 thousand,70311 km,Petrol,Manual,First,BMW,2000cc,6,
Ford X1,32.9 thousand,11023 km,Electric,Automatic,First,Ford,1200cc,7,
Ford Innova,26.88 lakh,79702 km,Diesel,Automatic,First,Ford,2000cc,6,
 bmw i20 ,2.29thousand,10925 km,CNG,Automatic,Second,BMW,2000cc,5,
Maruti C-Class,10.75 thousand,54386 km,Diesel,Automatic,Third,Maruti,800cc,6,
Toyota C-Class,21.31 crore,9296 km,Electric,Manual,First,Toyota,800cc,7,
 mercedes innova ,24.4 lakh,127603 km,Electric,Manual,Third,Mercedes,1200cc,7,
 mercedes nexon ,44.54 thousand,110364 km,CNG,Automatic,First,Mercedes,1000cc,6,
Honda Figo,30.5 crore,72658 km,Diesel,MANUAL,Third,Honda,1200cc,6,
Tata Innova,17.59 lakh,90500 km,electric,Manual,First,Tata,2000cc,4,
 ford i20 ,34.68 crore,23073 km,CNG,Manual,Second,Ford,1500cc,4,
 mercedes innova ,35.38 crore,43106 km,Electric,Manual,Second,Mercedes,2000cc,6,
BMW Innova,9.56 lakh,20785 km,Diesel,Manual,Second,BMW,2000cc,5,
Maruti Figo,27.03 crore,64271 km,Diesel,Manual,Second,Maruti,800cc,7,
 bmw x1 ,35.34 crore,95343 km,Diesel,Automatic,First,BMW,2000cc,4,
Ford Swift,38.73crore,146173 km,Petrol,Automatic,Second,Ford,800cc,6,
 toyota nexon ,13.84 lakh,46689 km,CNG,Manual,First,Toyota,2000cc,4,
Mercedes Swift,20.6 lakh,41446 km,CNG,Manual,Third,Mercedes,1500cc,4,
Toyota Swift,21.55 lakh,141027 km,Electric,AUTOMATIC,First,Toyota,1000cc,6,
 ford nexon ,39.71 crore,9589 km,Diesel,Manual,Second,Ford,1000cc,6,
Maruti Innova,8.37 lakh,114143 km,diesel,Manual,First,Maruti,1500cc,6,
Toyota Innova,,91283 km,CNG,Manual,Second,Toyota,1200cc,4,
Hyundai X1,6.32thousand,102257 km,CNG,Automatic,Second,Hyundai,2000cc,7,
Maruti Swift,24.43 thousand,53816 km,Diesel,Manual,First,Maruti,1200cc,5,
Toyota City,35.04 lakh,142598 km,Electric,Manual,First,Toyota,1500cc,4,
BMW City,28.09 crore,137576 km,Petrol,Automatic,First,BMW,1200cc,7,
Ford C-Class,27.38 thousand,104253 km,Petrol,Automatic,First,Ford,1500cc,6,
Honda C-Class,31.14 thousand,43617 km,Petrol,Automatic,Second,Honda,2000cc,5,
 hyundai i20 ,10.86 lakh,139999 km,Petrol,Manual,First,Hyundai,1500cc,4,
Honda Figo,4.34 thousand,99031 km,diesel,Manual,First,Honda,1500cc,7,
 bmw nexon ,34.85 crore,54834 km,diesel,Manual,First,BMW,1000cc,6,
 mercedes city ,34.68 thousand,148852 km,Petrol,Automatic,First,Mercedes,1500cc,6,
Maruti Nexon,13.32 lakh,115145 km,CNG,Automatic,Second,Maruti,1200cc,7,
Tata X1,34.36 lakh,107013 km,CNG,Automatic,Second,Tata,2000cc,7,
Maruti X1,16.06 thousand,34964 km,CNG,Automatic,Third,Maruti,2000cc,5,
BMW Nexon,24.76 thousand,15207 km,CNG,Manual,First,BMW,1000cc,6,
Mercedes Figo,21.15 crore,88024 km,Diesel,Automatic,Third,Mercedes,1500cc,6,
BMW Figo,18.8 thousand,81833 km,Diesel,Automatic,Second,BMW,1500cc,7,
Mercedes Figo,16.54 thousand,84130 km,CNG,Manual,First,Mercedes,1000cc,7,
Toyota Swift,37.07 lakh,121313 km,CNG,Automatic,First,Toyota,800cc,7,
Maruti X1,7.14crore,133163 km,Electric,Automatic,Third,Maruti,1000cc,6,
Mercedes Swift,41.04 lakh,51168 km,Diesel,Automatic,Third,Mercedes,1000cc,7,
Honda X1,39.79 crore,72088 km,CNG,MANUAL,First,Honda,800cc,4,
Honda Figo,44.86 lakh,129401 km,petrol,Manual,Third,Honda,1200cc,7,
Mercedes Figo,25.14 thousand,62374 km,electric,Manual,First,Mercedes,1200cc,4,
 honda innova ,39.39 thousand,137472 km,CNG,Automatic,Second,Honda,1200cc,5,
Tata i20,16.76 crore,80375 km,CNG,Automatic,First,Tata,2000cc,5,
Ford Nexon,34.16 thousand,95186 km,Electric,Automatic,Second,Ford,2000cc,4,
Honda Figo,18.77 lakh,67898 km,Petrol,Automatic,Second,Honda,2000cc,7,
BMW i20,34.29 thousand,78429 km,Petrol,Automatic,Second,BMW,1200cc,5,
Toyota Innova,47.86 crore,60365 km,Petrol,Manual,Second,Toyota,800cc,4,
Honda Figo,41.69 lakh,24923 km,Petrol,Manual,Second,Honda,1500cc,7,
Ford i20,26.6 crore,113572 km,cng,Manual,Second,Ford,1000cc,6,
 tata x1 ,19.1 thousand,145478 km,diesel,Automatic,Second,Tata,1000cc,7,
 toyota innova ,20.21 crore,12583 km,Diesel,Automatic,Second,Toyota,1200cc,5,
 honda x1 ,29.47 crore,13167 km,CNG,Automatic,Third,Honda,1000cc,7,
 tata nexon ,15.12 thousand,87615 km,CNG,Manual,Second,Tata,2000cc,5,
 tata x1 ,7.76crore,113313 km,Petrol,Manual,Third,Tata,2000cc,7,
BMW i20,33.14 lakh,35646 km,CNG,Automatic,First,BMW,1000cc,6,
Hyundai City,8.59 thousand,6940 km,Electric,Automatic,Third,Hyundai,2000cc,7,
Tata C-Class,20.27 thousand,11528 km,Diesel,Manual,First,Tata,1200cc,6,
Hyundai Nexon,25.98 crore,99141 km,Diesel,Automatic,Third,Hyundai,2000cc,5,
Tata City,19.15 crore,92273 km,Diesel,Automatic,First,Tata,1500cc,7,
Maruti Nexon,42.13 crore,99321 km,CNG,Manual,Second,Maruti,2000cc,5,
Ford Innova,17.92 crore,61734 km,Petrol,Automatic,Third,Ford,1500cc,7,
 honda c-class ,15.48 thousand,114940 km,cng,Automatic,Second,Honda,1500cc,,
Maruti C-Class,4.35 lakh,68696 km,cng,Manual,Second,Maruti,2000cc,7,
BMW City,27.76 lakh,7790 km,CNG,Automatic,Third,BMW,1500cc,7,
 maruti nexon ,14.11 thousand,110607 km,Diesel,Manual,First,Maruti,1000cc,4,
Mercedes City,4.52lakh,5830 km,Electric,AUTOMATIC,First,Mercedes,2000cc,6,
 mercedes figo ,9.14 thousand,140833 km,Petrol,Manual,Third,Mercedes,1500cc,4,
Tata Figo,4.82 crore,11219 km,Petrol,Manual,Second,Tata,1500cc,6,
 tata nexon ,18.55 thousand,36108 km,Electric,Automatic,Third,Tata,800cc,4,
 honda swift ,26.23 thousand,97754 km,Petrol,Automatic,,Honda,1500cc,6,
 maruti city ,48.05 thousand,86654 km,CNG,Manual,Third,Maruti,800cc,7,
 maruti innova ,30.33 thousand,46072 km,Electric,Manual,First,Maruti,1000cc,5,
BMW Swift,34.66 thousand,120537 km,Petrol,AUTOMATIC,Third,BMW,1200cc,7,
Hyundai X1,23.3 lakh,41392 km,diesel,Automatic,Third,Hyundai,2000cc,5,
 tata i20 ,20.9 lakh,140749 km,CNG,Manual,First,Tata,1500cc,5,
 bmw c-class ,42.48 lakh,65470 km,Electric,Manual,Third,BMW,1200cc,5,
Toyota Innova,33.3 lakh,139663 km,Petrol,Manual,Second,Toyota,2000cc,6,
Toyota Innova,24.22crore,105535 km,Diesel,MANUAL,Second,Toyota,2000cc,5,
Hyundai Figo,30.1 crore,121592 km,Petrol,Manual,First,Hyundai,2000cc,5,
Maruti Nexon,29.48 thousand,97940 km,CNG,Manual,Third,Maruti,2000cc,5,
Honda Figo,8.64 crore,66058 km,Diesel,Automatic,First,Honda,1000cc,6,
Ford Figo,22.1 thousand,140052 km,Electric,Manual,Second,Ford,1500cc,4,
 toyota swift ,3.62 crore,113970 km,CNG,MANUAL,First,Toyota,800cc,6,
Ford i20,49.15 lakh,85108 km,Diesel,Manual,Second,,1500cc,7,
BMW C-Class,7.88 lakh,125835 km,CNG,Automatic,Second,BMW,2000cc,6,
 maruti figo ,3.33 thousand,84803 km,Electric,Manual,Second,Maruti,800cc,6,
Hyundai Swift,15.86 thousand,147180 km,Electric,Manual,Third,Hyundai,1200cc,7,
 mercedes c-class ,3.13 crore,114265 km,CNG,Manual,First,Mercedes,1000cc,7,
 mercedes innova ,3.79 lakh,78451 km,CNG,Automatic,Second,Mercedes,1200cc,4,
Honda i20,13.43 lakh,24514 km,Diesel,Automatic,Second,Honda,1200cc,5,
Tata i20,30.71 lakh,111127 km,electric,Manual,Third,Tata,800cc,5,
BMW City,24.81 thousand,67915 km,Diesel,Automatic,Third,BMW,1500cc,5,
 hyundai c-class ,27.95lakh,38677 km,Electric,Automatic,Second,Hyundai,800cc,4,
Tata City,5.74lakh,132408 km,CNG,AUTOMATIC,Second,Tata,800cc,6,
 mercedes x1 ,49.61 crore,14373 km,Petrol,Automatic,Third,Mercedes,1000cc,5,
Toyota C-Class,44.06 crore,99471 km,Petrol,MANUAL,First,Toyota,1500cc,6,
Maruti X1,31.91 lakh,127730 km,diesel,Automatic,Second,Maruti,1200cc,6,
Mercedes Swift,46.43 lakh,35125 km,electric,Automatic,Second,Mercedes,1200cc,4,
Maruti C-Class,19.8 thousand,43543 km,Diesel,AUTOMATIC,Third,Maruti,800cc,5,
 maruti swift ,9.79 crore,143303 km,cng,Automatic,Third,Maruti,1200cc,7,
Tata Figo,12.58 lakh,100365 km,petrol,Automatic,First,Tata,1000cc,6,
Hyundai X1,35.11 thousand,145335 km,petrol,Manual,First,Hyundai,1200cc,6,
BMW i20,12.92 thousand,48244 km,Petrol,Automatic,Second,BMW,1200cc,5,
Tata i20,26.37 lakh,84975 km,Petrol,Automatic,Second,Tata,1000cc,6,
 ford figo ,6.04 thousand,109164 km,Petrol,Manual,Third,Ford,1000cc,7,
Mercedes i20,18.19 lakh,57927 km,petrol,Manual,Second,Mercedes,1000cc,5,
Toyota Figo,45.41crore,73444 km,cng,Automatic,Second,Toyota,800cc,7,
Tata C-Class,29.02 thousand,13063 km,Diesel,Automatic,First,Tata,1000cc,7,
Tata Swift,20.17 lakh,53488 km,Petrol,Manual,Second,Tata,1500cc,6,
Maruti Nexon,40.93thousand,42424 km,Petrol,Automatic,First,Maruti,800cc,4,
Honda C-Class,15.62 thousand,75229 km,CNG,Automatic,Third,Honda,1200cc,6,
Mercedes Innova,6.56 lakh,66684 km,cng,Automatic,Third,Mercedes,1000cc,5,
 bmw figo ,32.05 crore,137882 km,Diesel,Manual,First,BMW,800cc,4,
Mercedes C-Class,11.48 lakh,98550 km,Electric,AUTOMATIC,First,Mercedes,2000cc,5,
Toyota X1,10.33 thousand,109193 km,Electric,AUTOMATIC,First,Toyota,800cc,4,
Hyundai C-Class,49.61 crore,13068 km,Petrol,Manual,Second,Hyundai,800cc,6,
Toyota Swift,15.42 crore,72002 km,diesel,Manual,Second,Toyota,1200cc,7,
 mercedes nexon ,2.64 lakh,13514 km,Diesel,Manual,Third,Mercedes,1500cc,7,
Maruti C-Class,6.64 lakh,18718 km,Diesel,Automatic,First,Maruti,1000cc,4,
Toyota i20,20.66 lakh,117959 km,Petrol,Manual,Third,Toyota,1200cc,6,
 tata i20 ,22.95 crore,122081 km,Diesel,Automatic,Third,Tata,1500cc,5,
 tata city ,39.58 crore,83827 km,Electric,MANUAL,Second,Tata,2000cc,6,
Honda X1,6.15 lakh,81601 km,Electric,Manual,First,Honda,1000cc,4,
 ford innova ,49.14 crore,66281 km,Electric,Manual,Third,Ford,1000cc,4,
Tata C-Class,38.57thousand,70057 km,Petrol,Manual,Second,Tata,1200cc,6,
 bmw x1 ,12.31 thousand,49284 km,Diesel,Automatic,First,BMW,1500cc,6,
 toyota figo ,14.53 crore,113893 km,Diesel,Manual,Third,Toyota,1000cc,5,
Maruti Innova,11.85 thousand,68204 km,electric,Automatic,Second,Maruti,800cc,7,
 toyota nexon ,35.64 crore,27882 km,Petrol,Manual,First,Toyota,2000cc,5,
 ford innova ,3.06 thousand,87195 km,Diesel,MANUAL,Second,Ford,1500cc,5,
Ford Swift,35.14 crore,126000 km,electric,Automatic,Third,Ford,1200cc,4,
 tata x1 ,24.5 lakh,38869 km,cng,Manual,Third,Tata,2000cc,5,
Toyota Swift,2.68 crore,60122 km,petrol,Manual,Third,Toyota,1000cc,5,
Ford Nexon,45.6 thousand,100183 km,cng,Automatic,First,Ford,800cc,7,
 honda swift ,18.57 thousand,122743 km,petrol,Manual,Second,Honda,1000cc,5,
Tata X1,14.29 thousand,110447 km,Electric,Manual,Third,Tata,1500cc,6,
Ford C-Class,31.75 lakh,8920 km,electric,Manual,Third,Ford,2000cc,6,
Hyundai City,5.46 lakh,10751 km,Petrol,Automatic,Second,Hyundai,800cc,5,
BMW C-Class,11.27lakh,8244 km,diesel,Automatic,First,BMW,800cc,5,
 tata figo ,41.81 thousand,80094 km,CNG,Manual,Second,Tata,1000cc,6,
 tata swift ,38.01crore,15932 km,Diesel,Manual,Third,,1500cc,6,
BMW Swift,22.06lakh,27168 km,electric,MANUAL,Third,BMW,800cc,7,
Honda City,21.74 thousand,133997 km,CNG,Manual,Second,Honda,1200cc,6,
 mercedes figo ,14.65 crore,96300 km,Petrol,Automatic,Second,Mercedes,1200cc,7,
Mercedes Nexon,21.04 crore,50222 km,Diesel,Manual,Third,Mercedes,1000cc,5,
Maruti Figo,35.35 thousand,,Petrol,Automatic,Third,Maruti,1200cc,6,
Mercedes Swift,8.56 crore,39633 km,Electric,Manual,Second,Mercedes,1500cc,5,
 tata swift ,9.02 lakh,46587 km,CNG,Automatic,First,Tata,800cc,6,
 bmw c-class ,23.43 lakh,67479 km,Diesel,Manual,Second,BMW,1000cc,7,
Maruti C-Class,48.88 lakh,76618 km,Electric,Automatic,First,Maruti,800cc,5,
 toyota x1 ,18.44 crore,126149 km,petrol,Manual,First,Toyota,2000cc,6,
 hyundai innova ,5.96 thousand,83557 km,CNG,Manual,Third,Hyundai,1200cc,7,
Hyundai Figo,29.37 crore,92027 km,CNG,MANUAL,First,Hyundai,800cc,7,
Tata Swift,11.55 lakh,104743 km,Diesel,Automatic,Third,Tata,1500cc,7,
 ford i20 ,41.9 crore,110115 km,Electric,AUTOMATIC,First,Ford,1000cc,6,
 tata i20 ,30.55 thousand,96619 km,Petrol,Automatic,Third,Tata,1200cc,4,
 hyundai x1 ,46.39 lakh,7706 km,Electric,Manual,First,Hyundai,1200cc,5,
Mercedes City,34.91 crore,141739 km,Electric,Manual,Third,Mercedes,2000cc,5,
 mercedes city ,45.88 thousand,24586 km,CNG,Manual,First,Mercedes,1200cc,5,
 tata nexon ,6.31 lakh,25521 km,petrol,Manual,First,Tata,800cc,6,
Toyota C-Class,29.68 lakh,20384 km,CNG,Manual,Second,Toyota,1500cc,4,
 ford figo ,23.73 lakh,78295 km,Petrol,Automatic,Second,Ford,800cc,4,
Maruti C-Class,33.59 lakh,61397 km,Petrol,Manual,Second,Maruti,1000cc,4,
Toyota X1,19.31 crore,85762 km,Diesel,Manual,Third,Toyota,1200cc,7,
BMW C-Class,3.92 crore,122648 km,CNG,Automatic,First,BMW,1500cc,6,
Ford i20,10.99 thousand,55607 km,Diesel,Automatic,First,Ford,1500cc,6,
BMW City,47.82 lakh,75513 km,Petrol,Automatic,Third,BMW,1200cc,4,
 toyota city ,27.77 thousand,90261 km,electric,Manual,First,Toyota,1500cc,7,
Hyundai Nexon,39.08 lakh,125215 km,Petrol,Manual,First,Hyundai,1500cc,6,
Toyota City,2.67 lakh,129316 km,electric,Manual,Third,Toyota,1000cc,7,
Tata X1,28.39 crore,143144 km,Petrol,AUTOMATIC,Third,Tata,1500cc,4,
 bmw x1 ,7.54 crore,6279 km,Petrol,Manual,First,BMW,1500cc,5,
Mercedes Nexon,44.3 lakh,141691 km,Electric,Manual,Third,Mercedes,2000cc,7,
Tata City,10.99 thousand,105360 km,Diesel,Automatic,Second,Tata,1000cc,7,
Ford Nexon,48.71 crore,43323 km,cng,Manual,First,Ford,1000cc,6,
Tata Innova,32.32 lakh,25790 km,Diesel,Automatic,First,Tata,1500cc,7,
BMW C-Class,30.08 lakh,108077 km,CNG,Manual,First,BMW,1500cc,5,
BMW X1,30.41 lakh,123043 km,Petrol,Automatic,First,BMW,800cc,5,
BMW i20,18.03 thousand,112704 km,Diesel,Automatic,Third,BMW,800cc,5,
Mercedes Nexon,7.33 crore,46319 km,Petrol,Manual,Second,Mercedes,2000cc,4,
Honda Innova,39.06thousand,86520 km,Petrol,Automatic,Second,Honda,1000cc,5,
Mercedes i20,42.69 crore,136257 km,CNG,Automatic,First,Mercedes,1500cc,7,
Tata Figo,6.34 thousand,146326 km,Diesel,Automatic,First,Tata,800cc,7,
Tata i20,8.93 thousand,75958 km,CNG,Manual,Third,Tata,1000cc,6,
 honda innova ,10.38 lakh,64224 km,Diesel,Automatic,Second,Honda,1200cc,5,
 tata i20 ,24.85 lakh,54728 km,CNG,Automatic,First,Tata,800cc,7,
Ford City,33.49 thousand,121679 km,CNG,Manual,Second,Ford,,4,
Hyundai Innova,4.02thousand,145775 km,Diesel,Manual,First,Hyundai,800cc,5,
BMW i20,42.98 lakh,135524 km,CNG,Manual,Second,BMW,800cc,7,
 ford i20 ,34.92 crore,88653 km,Electric,Automatic,Third,Ford,2000cc,7,
Ford Figo,39.08 lakh,7804 km,CNG,Automatic,Second,Ford,2000cc,4,
Hyundai X1,18.12 crore,118457 km,Diesel,Manual,Third,Hyundai,800cc,7,
Tata City,28.35 thousand,146482 km,diesel,Automatic,Second,Tata,1200cc,4,
 bmw nexon ,29.29thousand,21577 km,Electric,Manual,Third,BMW,1500cc,4,
Hyundai Nexon,6.03 lakh,16424 km,Petrol,Manual,Second,Hyundai,1200cc,6,
BMW Swift,33.47 lakh,141378 km,Diesel,Automatic,First,BMW,2000cc,5,
Tata C-Class,45.32 thousand,27652 km,Petrol,Manual,First,Tata,1000cc,4,
Mercedes X1,19.82 lakh,61833 km,CNG,Automatic,Second,Mercedes,1000cc,7,
 hyundai swift ,12.81 thousand,57179 km,CNG,Manual,Third,Hyundai,800cc,6,
Hyundai i20,35.6 thousand,98188 km,Diesel,AUTOMATIC,Second,Hyundai,800cc,4,
 honda figo ,26.0 crore,86546 km,Diesel,Manual,Second,Honda,1000cc,6,
 mercedes innova ,39.26 thousand,112957 km,electric,Automatic,First,Mercedes,1500cc,4,
Honda i20,20.43 lakh,123125 km,Diesel,Manual,Second,Honda,2000cc,6,
 toyota x1 ,29.73 lakh,71690 km,cng,Automatic,First,Toyota,800cc,7,
BMW i20,26.35 crore,50687 km,electric,Manual,Second,BMW,2000cc,5,
Ford X1,12.2 crore,31246 km,petrol,Manual,Third,Ford,800cc,7,
Mercedes Nexon,42.45 lakh,8612 km,cng,Automatic,Third,Mercedes,1200cc,7,
 ford i20 ,24.34 crore,101286 km,Electric,Automatic,Third,Ford,800cc,5,
Mercedes X1,5.99 thousand,57829 km,diesel,MANUAL,Second,Mercedes,1000cc,4,
Ford City,11.68 lakh,9237 km,diesel,Manual,Second,Ford,2000cc,4,
 maruti x1 ,49.78 crore,90075 km,Petrol,Automatic,First,Maruti,1200cc,4,
 maruti innova ,3.46 lakh,35940 km,Diesel,Manual,Second,Maruti,1000cc,7,
Toyota Swift,4.09 crore,59592 km,Electric,Manual,Third,Toyota,1000cc,5,
Toyota City,30.7 crore,115047 km,CNG,Manual,Third,Toyota,1200cc,4,
 mercedes nexon ,4.49 thousand,105378 km,Electric,MANUAL,Second,Mercedes,1000cc,5,
Hyundai Figo,45.4 thousand,145225 km,Electric,Automatic,Second,Hyundai,1000cc,6,
 mercedes swift ,23.1 thousand,69694 km,Diesel,Automatic,Second,Mercedes,800cc,7,
Toyota City,32.84 lakh,85461 km,Electric,Manual,First,Toyota,800cc,5,
Ford Nexon,12.52 lakh,130527 km,CNG,Automatic,Second,Ford,1000cc,7,
Tata City,5.86 crore,26175 km,Diesel,Automatic,Second,Tata,2000cc,5,
